Title,Year,Rated,Released,Runtime,Internet Movie Database,Rotten Tomatoes,Metacritic,Metascore,imdbRating,imdbVotes,imdbID,BoxOffice,Domestic Open Gross,Num Theaters,Meta Score Cat,month,CPI @ release,CPI April 2023,New Domestic Open Gross,
Sex and the City 2,2010,R,27-May-10,146 min,4.5/10,15%,27/100,27,4.5,81369,tt1261945,95347692,31001870,3445,Low,5,218.178,303.363,43106180.68,tt1261945
Downton Abbey,2019,PG,20-Sep-19,122 min,7.4/10,84%,64/100,64,7.4,58821,tt6398184,96853865,31033665,3079,Medium,9,256.759,303.363,36666546.12,tt6398184
Pok?mon: The First Movie - Mewtwo Strikes Back,1998,G,12-Nov-99,96 min,6.2/10,16%,35/100,35,6.2,44292,tt0190641,85744662,31036678,3043,Low,11,164,303.363,57410852.12,tt0190641
Into the Woods,2014,PG,25-Dec-14,125 min,5.9/10,71%,69/100,69,5.9,144080,tt2180411,128002372,31051923,2440,Medium,12,234.812,303.363,40117219.38,tt2180411
Four Christmases,2008,PG-13,26-Nov-08,88 min,5.7/10,25%,41/100,41,5.7,75840,tt0369436,120146040,31069826,3310,Low,11,212.425,303.363,44370651.41,tt0369436
Bringing Down the House,2003,PG-13,7-Mar-03,105 min,5.6/10,34%,39/100,39,5.6,38159,tt0305669,132716677,31101026,2801,Low,3,184.2,303.363,51220958.47,tt0305669
Home Alone 2: Lost in New York,1992,PG,20-Nov-92,120 min,6.8/10,35%,46/100,46,6.8,373984,tt0104431,173585516,31126882,2222,Low,11,142,303.363,66498199.33,tt0104431
The Sum of All Fears,2002,PG-13,31-May-02,124 min,6.4/10,59%,45/100,45,6.4,119972,tt0164184,118907036,31178526,3183,Low,5,179.8,303.363,52605178.99,tt0164184
Evan Almighty,2007,PG,22-Jun-07,96 min,5.4/10,24%,37/100,37,5.4,150417,tt0413099,100462298,31192615,3604,Low,6,208.352,303.363,45416819.92,tt0413099
Girls Trip,2017,R,21-Jul-17,122 min,6.2/10,92%,71/100,71,6.2,38884,tt3564472,115171585,31201920,2591,Medium,7,244.786,303.363,38668502.52,tt3564472
Percy Jackson & the Olympians: The Lightning Thief,2010,PG,12-Feb-10,118 min,5.8/10,49%,47/100,47,5.8,193443,tt0814255,88768303,31236067,3356,Low,2,216.741,303.363,43719771.49,tt0814255
Liar Liar,1997,PG-13,21-Mar-97,86 min,6.9/10,83%,70/100,70,6.9,316929,tt0119528,181410615,31423025,2845,Medium,3,160,303.363,59578644.58,tt0119528
Ford v Ferrari,2019,PG-13,15-Nov-19,152 min,8.1/10,92%,81/100,81,8.1,414884,tt1950186,117624357,31474958,3528,High,11,257.208,303.363,37123019.83,tt1950186
The Truman Show,1998,PG,5-Jun-98,103 min,8.2/10,95%,90/100,90,8.2,1112169,tt0120382,125618201,31542121,2315,High,6,163,303.363,58703757.38,tt0120382
Bad Teacher,2011,R,24-Jun-11,92 min,5.6/10,45%,47/100,47,5.6,206433,tt1284575,100292856,31603106,3049,Low,6,225.722,303.363,42473542.88,tt1284575
Godzilla vs. Kong,2021,PG-13,31-Mar-21,113 min,6.3/10,75%,59/100,59,6.3,218533,tt5034838,100916094,31625971,3064,Medium,3,264.877,303.363,36221149.59,tt5034838
G-Force,2009,PG,24-Jul-09,88 min,5.1/10,22%,41/100,41,5.1,47950,tt0436339,119436770,31706934,3697,Low,7,215.351,303.363,44665270.28,tt0436339
Saw II,2005,R,28-Oct-05,93 min,6.6/10,37%,40/100,40,6.6,259359,tt0432348,87039965,31725652,2949,Low,10,199.2,303.363,48315205.66,tt0432348
Terminator 2: Judgment Day,1991,R,3-Jul-91,137 min,8.6/10,92%,75/100,75,8.6,1119363,tt0103064,205881154,31765506,2274,Medium,7,136.2,303.363,70752417.01,tt0103064
Paul Blart: Mall Cop,2009,PG,16-Jan-09,91 min,5.2/10,34%,39/100,39,5.2,113275,tt1114740,146336178,31832636,3144,Low,1,211.143,303.363,45736036.5,tt1114740
The SpongeBob SquarePants Movie,2004,PG,19-Nov-04,87 min,7.1/10,68%,66/100,66,7.1,95227,tt0345950,85417988,32018216,3212,Medium,11,191,303.363,50854146.91,tt0345950
