Title,Year,Rated,Released,Runtime,Internet Movie Database,Rotten Tomatoes,Metacritic,Metascore,imdbRating,imdbVotes,imdbID,BoxOffice,Domestic Open Gross,Num Theaters,Meta Score Cat,month,CPI @ release,CPI April 2023,New Domestic Open Gross,
The Fault in Our Stars,2014,PG-13,6-Jun-14,126 min,7.7/10,81%,69/100,69,7.7,386096,tt2582846,124872350,48002523,3173,Medium,6,238.343,303.363,61097617.24,tt2582846
Hotel Transylvania 2,2015,PG,25-Sep-15,89 min,6.6/10,55%,44/100,44,6.6,133452,tt2510894,169700110,48464322,3754,Low,9,237.945,303.363,61788573.47,tt2510894
The Matrix Revolutions,2003,R,5-Nov-03,129 min,6.7/10,34%,47/100,47,6.7,522518,tt0242653,139313948,48475154,3502,Low,11,184.5,303.363,79704976.38,tt0242653
Batman Begins,2005,PG-13,15-Jun-05,140 min,8.2/10,84%,70/100,70,8.2,1495934,tt0372784,206863479,48745440,3858,Medium,6,194.5,303.363,76028601.1,tt0372784
Tangled,2010,PG,24-Nov-10,100 min,7.7/10,?,71/100,71,7.7,467277,tt0398286,200821936,48767052,3603,Medium,11,218.803,303.363,67613877.3,tt0398286
Alvin and the Chipmunks: The Squeakquel,2009,PG,23-Dec-09,88 min,4.5/10,21%,41/100,41,4.5,51157,tt1231580,219614612,48875415,3700,Low,12,215.949,303.363,68659695.21,tt1231580
Neighbors,2014,R,9-May-14,97 min,6.3/10,?,68/100,68,6.3,317314,tt2004420,150157400,49033915,3279,Medium,5,237.9,303.363,62526589.14,tt2004420
Wreck-It Ralph,2012,PG,2-Nov-12,101 min,7.7/10,87%,72/100,72,7.7,432916,tt1772341,189422889,49038712,3752,Medium,11,230.221,303.363,64618478.72,tt1772341
Halloween Kills,2021,R,15-Oct-21,105 min,5.5/10,38%,42/100,42,5.5,89691,tt10665338,92002155,49404980,3705,Low,10,276.589,303.363,54187415.07,tt10665338
How to Train Your Dragon 2,2014,PG,13-Jun-14,102 min,7.8/10,92%,77/100,77,7.8,345703,tt1646971,177002924,49451322,4253,High,6,238.343,303.363,62941648.78,tt1646971
Taken 2,2012,PG-13,5-Oct-12,92 min,6.2/10,22%,45/100,45,6.2,312837,tt1397280,139854287,49514769,3661,Low,10,231.317,303.363,64936640.49,tt1397280
Scary Movie 3,2003,PG-13,24-Oct-03,84 min,5.5/10,35%,49/100,49,5.5,151488,tt0306047,110003217,49700000,3505,Low,10,185,303.363,81498060,tt0306047
The Great Gatsby,2013,PG-13,10-May-13,143 min,7.2/10,?,55/100,55,7.2,563373,tt1343092,144857996,50085185,3535,Medium,5,232.945,303.363,65225662.61,tt1343092
King Kong,2005,PG-13,14-Dec-05,187 min,7.2/10,84%,81/100,81,7.2,432238,tt0360717,218080025,50130145,3568,High,12,196.8,303.363,77274548.67,tt0360717
The Boss Baby,2017,PG,31-Mar-17,97 min,6.3/10,53%,50/100,50,6.3,132509,tt3874544,175003033,50198902,3773,Low,3,243.801,303.363,62462785.25,tt3874544
A Quiet Place,2018,PG-13,6-Apr-18,90 min,7.5/10,96%,82/100,82,7.5,546065,tt6644200,188024361,50203562,3508,High,4,250.546,303.363,60786854.23,tt6644200
Independence Day,1996,PG-13,3-Jul-96,145 min,7.0/10,68%,59/100,59,7,584797,tt0116629,306169268,50228264,2882,Medium,7,157,303.363,97053483.13,tt0116629
Rush Hour 3,2007,PG-13,10-Aug-07,91 min,6.2/10,17%,44/100,44,6.2,174246,tt0293564,140125968,50237000,3778,Low,8,207.917,303.363,73298705.88,tt0293564
Mr. & Mrs. Smith,2005,PG-13,10-Jun-05,120 min,6.5/10,59%,55/100,55,6.5,508079,tt0356910,186336279,50342878,3424,Medium,6,194.5,303.363,78520136.24,tt0356910
Jackass 3D,2010,R,15-Oct-10,94 min,7.0/10,66%,56/100,56,7,66811,tt1116184,117229692,50353641,3081,Medium,10,218.711,303.363,69842996.44,tt1116184
2 Fast 2 Furious,2003,PG-13,6-Jun-03,107 min,5.9/10,36%,38/100,38,5.9,281117,tt0322259,127154901,50472480,3408,Low,6,183.7,303.363,83350478.77,tt0322259
Dunkirk,2017,PG-13,21-Jul-17,106 min,7.8/10,92%,94/100,94,7.8,679450,tt5013056,189740665,50513488,3720,High,7,244.786,303.363,62601305.88,tt5013056
The Village,2004,PG-13,30-Jul-04,108 min,6.6/10,43%,44/100,44,6.6,268174,tt0368447,114197520,50746142,3730,Low,7,189.4,303.363,81280368.93,tt0368447
Jurassic Park III,2001,PG-13,18-Jul-01,92 min,5.9/10,49%,42/100,42,5.9,329583,tt0163025,181171875,50771645,3434,Low,7,177.5,303.363,86773174.89,tt0163025
Coco,2017,PG,22-Nov-17,105 min,8.4/10,97%,81/100,81,8.4,530179,tt2380307,210460015,50802605,3987,High,11,246.669,303.363,62478992.74,tt2380307
Wanted,2008,R,27-Jun-08,110 min,6.7/10,71%,64/100,64,6.7,396562,tt0493464,134508551,50927085,3175,Medium,6,218.815,303.363,70604818.17,tt0493464
Prometheus,2012,R,8-Jun-12,124 min,7.0/10,73%,64/100,64,7,618840,tt1446714,126477084,51050101,3396,Medium,6,229.478,303.363,67486694.98,tt1446714
Bohemian Rhapsody,2018,PG-13,2-Nov-18,134 min,7.9/10,60%,49/100,49,7.9,553047,tt1727824,216668042,51061119,4000,Low,11,252.038,303.363,61459201.56,tt1727824
Men in Black,1997,PG-13,2-Jul-97,98 min,7.3/10,91%,71/100,71,7.3,582525,tt0119654,250690539,51068455,3020,Medium,7,160.5,303.363,96525107.25,tt0119654
8 Mile,2002,R,8-Nov-02,110 min,7.2/10,75%,77/100,77,7.2,299321,tt0298203,116750901,51240555,2470,High,11,181.3,303.363,85739042.95,tt0298203
Van Helsing,2004,PG-13,7-May-04,131 min,6.0/10,?,35/100,35,6,273405,tt0338526,120177084,51748040,3575,Low,5,189.1,303.363,83016608.45,tt0338526
Home,2015,PG,27-Mar-15,94 min,6.5/10,52%,55/100,55,6.5,106407,tt2224026,177397510,52107731,3708,Medium,3,236.119,303.363,66947418.88,tt2224026
Men in Black II,2002,PG-13,3-Jul-02,88 min,6.2/10,38%,49/100,49,6.2,385004,tt0120912,193735288,52148751,3557,Low,7,180.1,303.363,87840097.44,tt0120912
I^ Robot,2004,PG-13,16-Jul-04,115 min,7.1/10,?,59/100,59,7.1,551233,tt0343818,144801023,52179887,3420,Medium,7,189.4,303.363,83576806.02,tt0343818
The Divergent Series: Insurgent,2015,PG-13,20-Mar-15,119 min,6.2/10,28%,42/100,42,6.2,244564,tt2908446,130179072,52263680,3875,Low,3,236.119,303.363,67147780.38,tt2908446
The Bourne Supremacy,2004,PG-13,23-Jul-04,108 min,7.7/10,82%,73/100,73,7.7,472127,tt0372183,176241941,52521865,3165,Medium,7,189.4,303.363,84124554.02,tt0372183
Superman Returns,2006,PG-13,30-Jun-06,154 min,6.1/10,74%,72/100,72,6.1,286372,tt0348150,200081192,52535096,4065,Medium,6,202.9,303.363,78547088.85,tt0348150
Paranormal Activity 3,2011,R,21-Oct-11,83 min,5.8/10,66%,59/100,59,5.8,96978,tt1778304,104028807,52568183,3321,Medium,10,226.421,303.363,70431813.74,tt1778304
Batman Forever,1995,PG-13,16-Jun-95,121 min,5.4/10,39%,51/100,51,5.4,257462,tt0112462,184069126,52784433,2842,Medium,6,152.5,303.363,105002255.4,tt0112462
The Lego Batman Movie,2017,PG,10-Feb-17,104 min,7.3/10,90%,75/100,75,7.3,158600,tt4116284,175936671,53003468,4088,Medium,2,243.603,303.363,66006129.08,tt4116284
The Wolverine,2013,PG-13,26-Jul-13,126 min,6.7/10,71%,61/100,61,6.7,475955,tt1430132,132556852,53113752,3924,Medium,7,233.596,303.363,68976982.26,tt1430132
Green Lantern,2011,PG-13,17-Jun-11,114 min,5.5/10,26%,39/100,39,5.5,288913,tt1133985,116601172,53174303,3816,Low,6,225.722,303.363,71464527.52,tt1133985
Shazam!,2019,PG-13,5-Apr-19,132 min,7.0/10,90%,71/100,71,7,359604,tt0448115,140480049,53505326,4217,Medium,4,255.548,303.363,63516584.8,tt0448115
Cars 3,2017,G,16-Jun-17,102 min,6.7/10,69%,59/100,59,6.7,107630,tt3606752,152901115,53688680,4256,Medium,6,244.955,303.363,66490412.65,tt3606752
The Nun,2018,R,7-Sep-18,96 min,5.3/10,25%,46/100,46,5.3,147041,tt5814060,117481222,53807379,3876,Low,9,252.439,303.363,64661830.84,tt5814060
Scooby-Doo,2002,PG,14-Jun-02,86 min,5.2/10,32%,35/100,35,5.2,117825,tt0267913,153322074,54155312,3447,Low,6,179.9,303.363,91321389.18,tt0267913
Night at the Museum: Battle of the Smithsonian,2009,PG,22-May-09,105 min,6.0/10,44%,42/100,42,6,202675,tt1078912,177243721,54173286,4096,Low,5,213.856,303.363,76846899.6,tt1078912
The Martian,2015,PG-13,2-Oct-15,144 min,8.0/10,91%,80/100,80,8,876100,tt3659388,228433663,54308575,3831,High,10,237.838,303.363,69270731.5,tt3659388
Pok?mon: Detective Pikachu,2019,PG,10-May-19,104 min,6.5/10,68%,53/100,53,6.5,170390,tt5884052,144174568,54365242,4202,Medium,5,256.092,303.363,64400305,tt5884052
Ted,2012,R,29-Jun-12,106 min,6.9/10,69%,62/100,62,6.9,627851,tt1637725,218815487,54415205,3239,Medium,6,229.478,303.363,71935261.05,tt1637725
X-Men,2000,PG-13,14-Jul-00,104 min,7.3/10,82%,64/100,64,7.3,626060,tt0120903,157299718,54471475,3025,Medium,7,172.8,303.363,95628646.24,tt0120903
San Andreas,2015,PG-13,29-May-15,114 min,6.1/10,48%,43/100,43,6.1,244695,tt2126355,155190832,54588173,3777,Low,5,237.805,303.363,69637021.62,tt2126355
Men in Black 3,2012,PG-13,25-May-12,106 min,6.8/10,67%,58/100,58,6.8,371815,tt1409024,179020854,54592779,4248,Medium,5,229.815,303.363,72064178.65,tt1409024
Divergent,2014,PG-13,21-Mar-14,139 min,6.6/10,41%,48/100,48,6.6,470549,tt1840309,150947895,54607747,3936,Low,3,236.293,303.363,70107747.39,tt1840309
G.I. Joe: The Rise of Cobra,2009,PG-13,7-Aug-09,118 min,5.7/10,33%,32/100,32,5.7,211468,tt1046173,150201498,54713046,4007,Low,8,215.834,303.363,76901293.46,tt1046173
The Hobbit: The Battle of the Five Armies,2014,PG-13,17-Dec-14,144 min,7.4/10,59%,59/100,59,7.4,546113,tt2310332,255138261,54724334,3875,Medium,12,234.812,303.363,70700552.51,tt2310332
Rise of the Planet of the Apes,2011,PG-13,5-Aug-11,105 min,7.6/10,82%,68/100,68,7.6,538510,tt1318514,176760185,54806191,3648,Medium,8,226.545,303.363,73390145.54,tt1318514
How to Train Your Dragon: The Hidden World,2019,PG,22-Feb-19,104 min,7.4/10,90%,71/100,71,7.4,137118,tt2386490,160945505,55022245,4259,Medium,2,252.776,303.363,66033615.97,tt2386490
The Chronicles of Narnia: Prince Caspian,2008,PG,16-May-08,150 min,6.5/10,66%,62/100,62,6.5,216255,tt0499448,141621490,55034805,3929,Medium,5,216.632,303.363,77068593.51,tt0499448
How the Grinch Stole Christmas,2000,PG,17-Nov-00,104 min,6.3/10,49%,46/100,46,6.3,267983,tt0170016,260715005,55082330,3127,Low,11,174.1,303.363,95978982.63,tt0170016
X-Men: First Class,2011,PG-13,3-Jun-11,131 min,7.7/10,?,65/100,65,7.7,701774,tt1270798,146408305,55101604,3641,Medium,6,225.722,303.363,74054757.15,tt1270798
Watchmen,2009,R,6-Mar-09,162 min,7.6/10,65%,56/100,56,7.6,561595,tt0409459,107509799,55214334,3611,Medium,3,212.709,303.363,78746014.53,tt0409459
No Time to Die,2021,PG-13,8-Oct-21,163 min,7.3/10,83%,68/100,68,7.3,415836,tt2382320,160891007,55225007,4407,Medium,10,276.589,303.363,60570824.58,tt2382320
The SpongeBob Movie: Sponge Out of Water,2015,PG,6-Feb-15,92 min,6.0/10,81%,62/100,62,6,57823,tt2279373,162994032,55365012,3641,Medium,2,234.722,303.363,71555696.25,tt2279373
The Incredible Hulk,2008,PG-13,13-Jun-08,112 min,6.6/10,67%,61/100,61,6.6,503605,tt0800080,134806913,55414050,3505,Medium,6,218.815,303.363,76825503.05,tt0800080
Mission: Impossible - Rogue Nation,2015,PG-13,31-Jul-15,131 min,7.4/10,94%,75/100,75,7.4,381571,tt2381249,195042377,55520089,3956,Medium,7,238.654,303.363,70573888.39,tt2381249
The Karate Kid,2010,PG,11-Jun-10,140 min,6.2/10,66%,61/100,61,6.2,191112,tt1155076,176591618,55665805,3663,Medium,6,217.965,303.363,77475491.95,tt1155076
Gravity,2013,PG-13,4-Oct-13,91 min,7.7/10,96%,96/100,96,7.7,839057,tt1454468,274092705,55785112,3575,High,10,233.546,303.363,72461694.62,tt1454468
Fantastic Four,2005,PG-13,8-Jul-05,106 min,5.7/10,28%,40/100,40,5.7,335346,tt0120667,154696080,56061504,3602,Low,7,195.4,303.363,87036776.04,tt0120667
Charlie and the Chocolate Factory,2005,PG,15-Jul-05,115 min,6.7/10,83%,72/100,72,6.7,494728,tt0367594,206459076,56178450,3770,Medium,7,195.4,303.363,87218337.4,tt0367594
Big Hero 6,2014,PG,7-Nov-14,102 min,7.8/10,90%,74/100,74,7.8,474465,tt2245084,222527828,56215889,3761,Medium,11,236.151,303.363,72215746.43,tt2245084
Snow White and the Huntsman,2012,PG-13,1-Jun-12,127 min,6.1/10,49%,57/100,57,6.1,294373,tt1735898,155332381,56217700,3773,Medium,6,229.478,303.363,74318105.11,tt1735898
Ralph Breaks the Internet,2018,PG,23-Nov-18,112 min,7.0/10,88%,71/100,71,7,168755,tt5848272,201091711,56237634,4017,Medium,11,252.038,303.363,67689861.7,tt5848272
Valentines Day,2010,PG-13,12-Feb-10,125 min,5.7/10,18%,34/100,34,5.7,122260,tt0817230,110528528,56260707,3665,Low,2,216.741,303.363,78745677.36,tt0817230
War for the Planet of the Apes,2017,PG-13,14-Jul-17,140 min,7.4/10,94%,82/100,82,7.4,265633,tt3450958,146880162,56262929,4022,High,7,244.786,303.363,69726581.3,tt3450958
Despicable Me,2010,PG,9-Jul-10,95 min,7.6/10,80%,72/100,72,7.6,559276,tt1323594,251557985,56397125,3476,Medium,7,218.011,303.363,78476778.84,tt1323594
Moana,2016,PG,23-Nov-16,107 min,7.6/10,95%,81/100,81,7.6,348796,tt3521164,248757044,56631401,3875,High,11,241.353,303.363,71181512.98,tt3521164
John Wick: Chapter 3 - Parabellum,2019,R,17-May-19,130 min,7.4/10,89%,73/100,73,7.4,382012,tt6146586,171015687,56818067,3850,Medium,5,256.092,303.363,67305887.18,tt6146586
Sex and the City,2008,R,30-May-08,145 min,5.7/10,49%,53/100,53,5.7,124067,tt1000774,152647258,57038404,3285,Medium,5,216.632,303.363,79874355.37,tt1000774
22 Jump Street,2014,R,13-Jun-14,112 min,7.0/10,84%,71/100,71,7,387303,tt2294449,191719337,57071445,3306,Medium,6,238.343,303.363,72640542.28,tt2294449
Ant-Man,2015,PG-13,17-Jul-15,117 min,7.3/10,83%,64/100,64,7.3,689231,tt0478970,180202163,57225526,3856,Medium,7,238.654,303.363,72741740.11,tt0478970
Mission: Impossible II,2000,PG-13,24-May-00,123 min,6.1/10,?,59/100,59,6.1,351537,tt0120755,215409889,57845297,3653,Medium,5,171.5,303.363,102321415.9,tt0120755
Hannibal,2001,R,9-Feb-01,131 min,6.8/10,39%,57/100,57,6.8,281812,tt0212985,165092268,58003121,3230,Medium,2,175.8,303.363,100091017,tt0212985
Sonic the Hedgehog,2020,PG,14-Feb-20,99 min,6.5/10,64%,47/100,47,6.5,146408,tt3794354,148974665,58018348,4167,Low,2,258.678,303.363,68040653.26,tt3794354
Fantastic Four: Rise of the Silver Surfer,2007,PG,15-Jun-07,92 min,5.6/10,37%,45/100,45,5.6,270573,tt0486576,131921738,58051684,3959,Low,6,208.352,303.363,84523945.12,tt0486576
Pearl Harbor,2001,PG-13,25-May-01,183 min,6.2/10,24%,44/100,44,6.2,340046,tt0213149,198542554,59078912,3214,Low,5,177.7,303.363,100857377.5,tt0213149
Jason Bourne,2016,PG-13,29-Jul-16,123 min,6.6/10,54%,58/100,58,6.6,233006,tt4196776,162434410,59215365,4026,Medium,7,240.628,303.363,74653617.92,tt4196776
Jumanji: The Next Level,2019,PG-13,13-Dec-19,123 min,6.7/10,?,58/100,58,6.7,261814,tt7975244,320314960,59251543,4227,Medium,12,256.974,303.363,69947643.88,tt7975244
Star Trek Beyond,2016,PG-13,22-Jul-16,122 min,7.0/10,86%,68/100,68,7,251243,tt2660888,158848340,59253211,3928,Medium,7,240.628,303.363,74701330.89,tt2660888
Monsters vs. Aliens,2009,PG,27-Mar-09,94 min,6.4/10,74%,56/100,56,6.4,167822,tt0892782,198351526,59321095,4104,Medium,3,212.709,303.363,84603027.34,tt0892782
Fast & Furious Presents: Hobbs & Shaw,2019,PG-13,2-Aug-19,137 min,6.5/10,68%,60/100,60,6.5,220386,tt6806448,173956935,60038950,4253,Medium,8,256.558,303.363,70992118.7,tt6806448
Signs,2002,PG-13,2-Aug-02,106 min,6.8/10,75%,59/100,59,6.8,370739,tt0286106,227966634,60117080,3264,Medium,8,180.7,303.363,100925831.4,tt0286106
Cars,2006,G,9-Jun-06,117 min,7.2/10,75%,73/100,73,7.2,437026,tt0317219,244082982,60119509,3985,Medium,6,202.9,303.363,89886814.24,tt0317219
Straight Outta Compton,2015,R,14-Aug-15,147 min,7.8/10,88%,72/100,72,7.8,208077,tt1398426,161197785,60200180,2757,Medium,8,238.316,303.363,76631477.56,tt1398426
Kung Fu Panda,2008,PG,6-Jun-08,92 min,7.6/10,87%,74/100,74,7.6,486719,tt0441773,215771591,60239130,4114,Medium,6,218.815,303.363,83514947.3,tt0441773
Madagascar 3: Europes Most Wanted,2012,PG,8-Jun-12,93 min,6.8/10,78%,60/100,60,6.8,187867,tt1277953,216391482,60316738,4258,Medium,6,229.478,303.363,79736909.81,tt1277953
Kong: Skull Island,2017,PG-13,10-Mar-17,118 min,6.6/10,75%,62/100,62,6.6,328622,tt3731562,168052812,61025472,3846,Medium,3,243.801,303.363,75934349.17,tt3731562
Clash of the Titans,2010,PG-13,2-Apr-10,106 min,5.8/10,27%,39/100,39,5.8,286521,tt0800320,163214888,61235105,3777,Low,4,218.009,303.363,85209625.1,tt0800320
Mission: Impossible - Fallout,2018,PG-13,27-Jul-18,147 min,7.7/10,97%,86/100,86,7.7,343365,tt4912910,220159104,61236534,4386,High,7,252.006,303.363,73716096.7,tt4912910
The Amazing Spider-Man,2012,PG-13,3-Jul-12,136 min,6.9/10,71%,66/100,66,6.9,670012,tt0948470,262030663,62004688,4318,Medium,7,229.104,303.363,82102137.74,tt0948470
The Lord of the Rings: The Two Towers,2002,PG-13,18-Dec-02,179 min,8.8/10,95%,87/100,87,8.8,1698412,tt0167261,342952511,62007528,3622,High,12,180.9,303.363,103984465,tt0167261
Hulk,2003,PG-13,20-Jun-03,138 min,5.6/10,62%,54/100,54,5.6,272304,tt0286716,132177234,62128420,3660,Medium,6,183.7,303.363,102599150.1,tt0286716
Fantastic Beasts: The Crimes of Grindelwald,2018,PG-13,16-Nov-18,134 min,6.5/10,36%,52/100,52,6.5,292527,tt4123430,159555901,62163104,4163,Medium,11,252.038,303.363,74821993.98,tt4123430
Sherlock Holmes,2009,PG-13,25-Dec-09,128 min,7.6/10,69%,57/100,57,7.6,646192,tt0988045,209028679,62304277,3626,Medium,12,215.949,303.363,87524426.52,tt0988045
Bad Boys for Life,2020,R,17-Jan-20,124 min,6.5/10,76%,59/100,59,6.5,165935,tt1502397,206305244,62504105,3775,Medium,1,257.971,303.363,73502187.48,tt1502397
Monsters^ Inc.,2001,G,23-Nov-01,92 min,8.1/10,96%,79/100,79,8.1,927292,tt0198781,290642256,62577067,3237,High,11,177.4,303.363,107009959.3,tt0198781
Hancock,2008,PG-13,2-Jul-08,92 min,6.4/10,41%,49/100,49,6.4,493780,tt0448157,227946274,62603879,3965,Low,7,219.964,303.363,86340039.94,tt0448157
Inception,2010,PG-13,16-Jul-10,148 min,8.8/10,87%,74/100,74,8.8,2403698,tt1375666,292587330,62785337,3792,Medium,7,218.011,303.363,87365996.16,tt1375666
Pirates of the Caribbean: Dead Men Tell No Tales,2017,PG-13,26-May-17,129 min,6.5/10,30%,39/100,39,6.5,323107,tt1790809,172558876,62983253,4276,Low,5,244.733,303.363,78071974.68,tt1790809
WALL?E,2008,G,27-Jun-08,98 min,8.4/10,95%,95/100,95,8.4,1139154,tt0910970,223808164,63087526,3992,High,6,218.815,303.363,87463935.97,tt0910970
Madagascar: Escape 2 Africa,2008,PG,7-Nov-08,89 min,6.6/10,64%,61/100,61,6.6,235130,tt0479952,180010950,63106589,4056,Medium,11,212.425,303.363,90122180.34,tt0479952
Star Wars: Episode I - The Phantom Menace,1999,PG,19-May-99,136 min,6.5/10,51%,51/100,51,6.5,821772,tt0120915,474544677,64820970,2970,Medium,5,166.2,303.363,118316991.1,tt0120915
The Twilight Saga: Eclipse,2010,PG-13,30-Jun-10,124 min,5.0/10,47%,58/100,58,5,250820,tt1325004,300531751,64832191,4468,Medium,6,217.965,303.363,90233239.09,tt1325004
War of the Worlds,2005,PG-13,29-Jun-05,116 min,6.5/10,75%,73/100,73,6.5,458574,tt0407304,234280354,64878725,3908,Medium,6,194.5,303.363,101191797.7,tt0407304
Captain America: The First Avenger,2011,PG-13,22-Jul-11,124 min,6.9/10,80%,66/100,66,6.9,861357,tt0458339,176654505,65058524,3715,Medium,7,225.922,303.363,87359128.44,tt0458339
2012,2009,PG-13,13-Nov-09,158 min,5.8/10,39%,49/100,49,5.8,385353,tt1190080,166112167,65237614,3404,Low,11,216.33,303.363,91483743.8,tt1190080
The Chronicles of Narnia: The Lion^ the Witch and the Wardrobe,2005,PG,9-Dec-05,143 min,6.9/10,75%,75/100,75,6.9,407662,tt0363771,291710957,65556312,3616,Medium,12,196.8,303.363,101053655.9,tt0363771
Teenage Mutant Ninja Turtles,2014,PG-13,8-Aug-14,101 min,5.8/10,21%,31/100,31,5.8,213912,tt1291150,191204754,65575105,3845,Low,8,237.852,303.363,83636297.27,tt1291150
Thor,2011,PG-13,6-May-11,115 min,7.0/10,77%,57/100,57,7,865173,tt0800369,181030624,65723338,3955,Medium,5,225.964,303.363,88235422.39,tt0800369
X-Men: Apocalypse,2016,PG-13,27-May-16,144 min,6.9/10,47%,52/100,52,6.9,444733,tt3385516,155442489,65769562,4150,Medium,5,240.229,303.363,83054300.84,tt3385516
Cars 2,2011,G,24-Jun-11,106 min,6.2/10,40%,57/100,57,6.2,199411,tt1216475,191452396,66135507,4115,Medium,6,225.722,303.363,88883962.62,tt1216475
Brave,2012,PG,19-Jun-12,93 min,7.1/10,79%,69/100,69,7.1,421768,tt1217209,237283207,66323594,4164,Medium,6,229.478,303.363,87677792.41,tt1217209
World War Z,2013,PG-13,21-Jun-13,116 min,7.0/10,66%,63/100,63,7,685420,tt0816711,202807711,66411834,3607,Medium,6,233.504,303.363,86280719.81,tt0816711
Rush Hour 2,2001,PG-13,3-Aug-01,90 min,6.6/10,51%,48/100,48,6.6,226530,tt0266915,226164286,67408222,3118,Low,8,177.5,303.363,115206537.7,tt0266915
Quantum of Solace,2008,PG-13,14-Nov-08,106 min,6.6/10,64%,58/100,58,6.6,456945,tt0830515,168368427,67528882,3451,Medium,11,212.425,303.363,96437633.19,tt0830515
The Grinch,2018,PG,9-Nov-18,85 min,6.4/10,59%,51/100,51,6.4,77756,tt2709692,271384731,67572855,4141,Medium,11,252.038,303.363,81333386.28,tt2709692
Aquaman,2018,PG-13,21-Dec-18,143 min,6.8/10,65%,55/100,55,6.8,488854,tt1477834,335104314,67873522,4125,Medium,12,251.233,303.363,81957048.85,tt1477834
Cinderella,2015,PG,13-Mar-15,105 min,6.9/10,83%,67/100,67,6.9,181635,tt1661199,201151353,67877361,3845,Medium,3,236.119,303.363,87208059.77,tt1661199
Bruce Almighty,2003,PG-13,23-May-03,101 min,6.8/10,48%,46/100,46,6.8,414586,tt0315327,242829261,67953330,3483,Low,5,183.5,303.363,112340741.4,tt0315327
Ice Age: The Meltdown,2006,PG,31-Mar-06,91 min,6.8/10,?,59/100,59,6.8,285195,tt0438097,195330621,68033544,3964,Medium,3,199.8,303.363,103297597.6,tt0438097
Up,2009,PG,29-May-09,96 min,8.3/10,98%,88/100,88,8.3,1064160,tt1049413,293004164,68108790,3766,High,5,213.856,303.363,96614950.53,tt1049413
The Mummy Returns,2001,PG-13,4-May-01,130 min,6.4/10,46%,48/100,48,6.4,333823,tt0209163,202019785,68139035,3401,Low,5,177.7,303.363,116324491.1,tt0209163
Planet of the Apes,2001,PG-13,27-Jul-01,119 min,5.7/10,44%,50/100,50,5.7,222928,tt0133152,180011740,68532960,3500,Low,7,177.5,303.363,117128813.2,tt0133152
The Day After Tomorrow,2004,PG-13,28-May-04,124 min,6.4/10,45%,47/100,47,6.4,458867,tt0319262,186740799,68743584,3425,Low,5,189.1,303.363,110281649.2,tt0319262
The Lego Movie,2014,PG,7-Feb-14,100 min,7.7/10,96%,83/100,83,7.7,367189,tt1490017,257966122,69050279,3775,High,2,234.781,303.363,89220591.91,tt1490017
Pitch Perfect 2,2015,PG-13,15-May-15,115 min,6.4/10,65%,63/100,63,6.4,162448,tt2848292,184296230,69216890,3473,Medium,5,237.805,303.363,88298578.25,tt2848292
The Bourne Ultimatum,2007,PG-13,3-Aug-07,115 min,8.0/10,92%,85/100,85,8,642652,tt0440963,227471070,69283690,3660,High,8,207.917,303.363,101088934.8,tt0440963
Maleficent,2014,PG,30-May-14,97 min,6.9/10,54%,56/100,56,6.9,384957,tt1587310,241410378,69431298,3948,Medium,5,237.9,303.363,88536724.91,tt1587310
Twilight,2008,PG-13,21-Nov-08,122 min,5.3/10,49%,56/100,56,5.3,470511,tt1099212,193962473,69637740,3419,Medium,11,212.425,303.363,99449281.96,tt1099212
F9: The Fast Saga,2021,PG-13,25-Jun-21,143 min,5.2/10,59%,58/100,58,5.2,140414,tt5433138,173005945,70043165,4179,Medium,6,271.696,303.363,78206910.16,tt5433138
Star Trek Into Darkness,2013,PG-13,16-May-13,132 min,7.7/10,84%,72/100,72,7.7,488697,tt1408101,228778661,70165559,3868,Medium,5,232.945,303.363,91376223.89,tt1408101
The Lorax,2012,PG,2-Mar-12,86 min,6.4/10,?,46/100,46,6.4,119339,tt1482459,214373500,70217070,3729,Low,3,229.392,303.363,92859650.76,tt1482459
Finding Nemo,2003,G,30-May-03,100 min,8.2/10,99%,90/100,90,8.2,1063048,tt0266543,380843261,70251710,3374,High,5,183.5,303.363,116140433.2,tt0266543
Spectre,2015,PG-13,6-Nov-15,148 min,6.8/10,63%,60/100,60,6.8,449805,tt2379713,200074609,70403148,3929,Medium,11,237.336,303.363,89989340.79,tt2379713
The Incredibles,2004,PG,5-Nov-04,115 min,8.0/10,?,90/100,90,8,758139,tt0317705,261441092,70467623,3933,High,11,191,303.363,111922877,tt0317705
Transformers,2007,PG-13,3-Jul-07,144 min,7.0/10,58%,61/100,61,7,649080,tt0418279,319246193,70502384,4011,Medium,7,208.299,303.363,102678432,tt0418279
Shrek Forever After,2010,PG,21-May-10,95 min,6.3/10,57%,58/100,58,6.3,213488,tt0892791,238736787,70838207,4359,Medium,5,218.178,303.363,98496140.72,tt0892791
300,2006,R,9-Mar-07,117 min,7.6/10,61%,52/100,52,7.6,834525,tt0416449,210629101,70885301,3103,Medium,3,199.8,303.363,107627515.4,tt0416449
Fast & Furious,2009,PG-13,3-Apr-09,107 min,6.5/10,28%,46/100,46,6.5,294691,tt1013752,155064265,70950500,3461,Low,4,213.24,303.363,100936768.6,tt1013752
Us,2019,R,22-Mar-19,116 min,6.8/10,93%,81/100,81,6.8,313616,tt6857112,175084580,71117625,3741,High,3,254.202,303.363,84871307.36,tt6857112
